hex_id,flag_no_transition,primary_type,group_type,total_area,diag_total,offdiag_total,offdiag_ratio,dominant_value_col,dominant_area,dominant_share_of_offdiag,dom_from,dom_to,dom_from_name,dom_to_name,beta_obs,beta_nat_clim,beta_res_clim,share_nat_clim,dominance_clim,beta_nat_co2,beta_res_co2,share_nat_co2,dominance_co2,beta_clim,beta_co2,beta_res,share_abs_clim,share_abs_co2,share_abs_res,P90_trend,VPD90_trend,Tmean_trend,SM90_L1_trend,ET90_trend,SWnet90_trend,VPD_resid_trend
310613,FALSE,Bare_to_Sparse,Bare_to_Sparse,100350000,87210000,13140000,0.130941704,VALUE_906,12960000,0.98630137,9,6,bare_areas,sparse_vegetation,0.372560801,0.001013202,0.371547599,0.002719562,RESIDUAL,0.209679421,0.16288138,0.562805911,NATURAL,0.001013202,0.208666219,0.16288138,0.002719562,0.560086348,0.437194089,-0.062377783,0.001550459,0.020340115,9.70E-05,-0.492240041,-0.304697402,0.000309535
310617,FALSE,Bare_to_Sparse,Bare_to_Sparse,100260000,70020000,30240000,0.301615799,VALUE_906,21420000,0.708333333,9,6,bare_areas,sparse_vegetation,0.217806988,0.000400979,0.21740601,0.001840981,RESIDUAL,0.209428017,0.008378972,0.96153029,NATURAL,0.000400979,0.209027038,0.008378972,0.001840981,0.959689309,0.03846971,-0.23955079,0.001436069,0.028945693,0.000127973,-0.423903217,-0.29750201,-0.000431826
310618,FALSE,Bare_to_Sparse,Bare_to_Sparse,100350000,43110000,57240000,0.570403587,VALUE_906,51030000,0.891509434,9,6,bare_areas,sparse_vegetation,0.391556008,6.40E-05,0.391491989,0.000163499,RESIDUAL,0.208907015,0.182648993,0.533530352,NATURAL,6.40E-05,0.208842996,0.182648993,0.000163499,0.533366853,0.466469648,-0.225562874,0.001907672,0.030288296,5.68E-05,-0.428347106,-0.29852735,-5.90E-05
310619,FALSE,Bare_to_Sparse,Bare_to_Sparse,100350000,69660000,30690000,0.305829596,VALUE_906,30240000,0.985337243,9,6,bare_areas,sparse_vegetation,0.563703402,-0.000146352,0.563849754,0.000259491,RESIDUAL,0.208595548,0.355107854,0.370044862,RESIDUAL,-0.000146352,0.2087419,0.355107854,0.000259491,0.370112307,0.629628202,-0.21250954,0.00216794,0.031061541,-1.71E-05,-0.420775218,-0.301275413,0.000143287
310620,FALSE,Bare_to_Sparse,Bare_to_Sparse,100440000,99180000,1260000,0.012544803,VALUE_906,1260000,1,9,6,bare_areas,sparse_vegetation,0.544933233,-4.07E-05,0.544973907,7.46E-05,RESIDUAL,0.208647502,0.336285731,0.38288636,RESIDUAL,-4.07E-05,0.208688177,0.336285731,7.46E-05,0.382903841,0.617021529,-0.203320637,0.002208104,0.031152456,-6.59E-05,-0.399300717,-0.309933002,0.000172723
310621,FALSE,Bare_to_Sparse,Bare_to_Sparse,98370000,86040000,12330000,0.125343092,VALUE_906,11970000,0.97080292,9,6,bare_areas,sparse_vegetation,0.204499598,0.006587019,0.19791258,0.032210424,RESIDUAL,0.214373233,-0.009873635,0.955969799,NATURAL,0.006587019,0.207786214,-0.009873635,0.029373961,0.926595838,0.044030201,0.036002618,0.000585757,0.026253485,1.46E-05,-0.242741491,-0.35487456,-0.001111898
310628,FALSE,Bare_or_sparse_to_grass_or_forest,Bare_or_sparse_to_grass_or_forest,100260000,97470000,2790000,0.027827648,VALUE_904,1890000,0.677419355,9,4,bare_areas,grassland,0.49214404,0.014635816,0.477508224,0.029738887,RESIDUAL,0.220879248,0.271264792,0.448810166,RESIDUAL,0.014635816,0.206243432,0.271264792,0.029738887,0.419071279,0.551189834,0.379107638,-0.000864182,0.028795897,0.000158631,-0.099352905,-0.469022378,-0.002801711
310629,FALSE,Bare_to_Sparse,Bare_to_Sparse,100350000,92520000,7830000,0.078026906,VALUE_906,5490000,0.701149425,9,6,bare_areas,sparse_vegetation,0.448078023,0.018528437,0.429549586,0.041350916,RESIDUAL,0.224698836,0.223379187,0.501472566,NATURAL,0.018528437,0.206170399,0.223379187,0.041350916,0.46012165,0.498527434,0.479503656,-0.002314314,0.024638445,0.000190528,0.097152115,-0.485186652,-0.00395491
310630,FALSE,Bare_or_sparse_to_grass_or_forest,Bare_or_sparse_to_grass_or_forest,100350000,93690000,6660000,0.066367713,VALUE_904,3600000,0.540540541,9,4,bare_areas,grassland,0.494307402,0.02182868,0.472478722,0.044160132,RESIDUAL,0.22819952,0.266107882,0.461655073,RESIDUAL,0.02182868,0.20637084,0.266107882,0.044160132,0.417494941,0.538344927,0.522976895,-0.004155416,0.020176861,0.00020771,0.26659861,-0.508367531,-0.005480097
310798,TRUE,,No_transition,98460000,98460000,0,0,VALUE_102,0,,1,2,cropland,forest,0.393669675,0.023518315,0.37015136,0.059741242,RESIDUAL,0.229283224,0.164386451,0.582425415,NATURAL,0.023518315,0.205764909,0.164386451,0.059741242,0.522684173,0.417574585,0.714795065,-0.001620082,0.036828946,0.000723663,0.613196777,-0.481070868,-0.004151688
